datetime,open,high,low,close,volume
2025-09-04 15:59:00,1256.87,1257.47998,1256.78003,1257.43994,89045
2025-09-04 15:58:00,1256.18005,1256.78003,1256.03003,1256.78003,36299
2025-09-04 15:57:00,1255.72498,1256.30005,1255.13,1256.03003,26374
2025-09-04 15:56:00,1255.61499,1255.73999,1255.40503,1255.73999,20171
2025-09-04 15:55:00,1256.30505,1256.70996,1255.23523,1255.73999,17417
2025-09-04 15:54:00,1256.56006,1256.93994,1255.88,1256.29504,36517
2025-09-04 15:53:00,1255.68994,1256.88989,1255.68994,1256.52502,16503
2025-09-04 15:52:00,1255.37,1255.66003,1255.05005,1255.45496,12350
2025-09-04 15:51:00,1255.35999,1255.62,1254.70007,1255.43005,17945
2025-09-04 15:50:00,1255.44995,1255.44995,1255.21497,1255.33496,5265
2025-09-04 15:49:00,1255.63,1255.63,1254.70996,1255.07495,12371
2025-09-04 15:48:00,1255.76001,1256.28992,1255.57996,1255.97949,6145
2025-09-04 15:47:00,1256.05005,1256.15002,1255.93005,1256.15002,7316
2025-09-04 15:46:00,1255.96997,1256.49988,1255.96997,1256.35999,13010
2025-09-04 15:45:00,1255.68005,1255.875,1255.47998,1255.81006,8246
2025-09-04 15:44:00,1254.87,1255.93005,1254.87,1255.93005,5415
2025-09-04 15:43:00,1254.755,1255.11987,1254.63,1255.02002,5222
2025-09-04 15:42:00,1254.5,1254.88965,1254.5,1254.755,4563
2025-09-04 15:41:00,1254.18506,1254.5,1254.1355,1254.5,4555
2025-09-04 15:40:00,1254.32996,1254.32996,1253.67004,1254.07996,7039
2025-09-04 15:39:00,1254.40002,1254.58997,1254.04236,1254.43005,6118
2025-09-04 15:38:00,1253.75,1254.495,1253.75,1254.495,2915
2025-09-04 15:37:00,1253.55005,1253.82996,1253.47998,1253.68005,4507
2025-09-04 15:36:00,1252.91504,1253.82996,1252.91504,1253.82996,4208
2025-09-04 15:35:00,1253.92505,1253.92505,1252.68616,1252.68616,5864
2025-09-04 15:34:00,1254.76001,1254.76001,1253.76001,1253.76001,5273
2025-09-04 15:33:00,1255.07495,1255.07495,1254.73596,1254.76001,4946
2025-09-04 15:32:00,1255.0,1255.2699,1254.94995,1255.06494,2428
2025-09-04 15:31:00,1255.31006,1255.33997,1255.03003,1255.06006,5273
2025-09-04 15:30:00,1254.85999,1255.15002,1254.71997,1255.04504,4351
2025-09-04 15:29:00,1255.18506,1255.18506,1254.81995,1254.97998,2688
2025-09-04 15:28:00,1255.39001,1255.39001,1255.09998,1255.13501,2459
2025-09-04 15:27:00,1255.06995,1255.54004,1255.06995,1255.39001,2327
2025-09-04 15:26:00,1255.0,1255.32996,1255.0,1255.06494,4118
2025-09-04 15:25:00,1254.43005,1254.43005,1254.43005,1254.43005,1361
2025-09-04 15:24:00,1255.91003,1255.99353,1255.0,1255.0,5856
2025-09-04 15:23:00,1256.01001,1256.01001,1255.63013,1255.99817,3027
2025-09-04 15:22:00,1256.0,1256.30005,1256.0,1256.10498,7718
2025-09-04 15:21:00,1255.93994,1256.0,1255.85498,1255.85498,7104
2025-09-04 15:20:00,1255.82996,1255.82996,1255.73999,1255.73999,2196
2025-09-04 15:19:00,1255.48999,1255.79004,1255.44495,1255.44495,7610
2025-09-04 15:18:00,1255.54004,1255.70996,1255.5,1255.5,3492
2025-09-04 15:17:00,1255.48999,1255.57825,1255.48999,1255.55005,1829
2025-09-04 15:16:00,1255.23523,1255.56006,1255.23523,1255.56006,2758
2025-09-04 15:15:00,1255.1825,1255.25,1255.14746,1255.25,3843
2025-09-04 15:14:00,1255.16003,1255.58997,1255.16003,1255.58997,3457
2025-09-04 15:13:00,1254.71997,1254.71997,1254.71997,1254.71997,2147
2025-09-04 15:12:00,1254.42004,1254.5,1254.20996,1254.5,2494
2025-09-04 15:11:00,1253.92908,1254.42993,1253.92004,1254.29297,3060
2025-09-04 15:10:00,1254.23291,1254.29504,1253.94995,1253.94995,2782
2025-09-04 15:09:00,1254.34119,1254.37976,1254.34119,1254.37976,1541
2025-09-04 15:08:00,1254.44995,1254.44995,1254.0,1254.22998,3171
2025-09-04 15:07:00,1254.57996,1254.57996,1254.19995,1254.46252,2748
2025-09-04 15:06:00,1254.88,1254.96985,1254.57495,1254.96985,2181
2025-09-04 15:05:00,1254.84998,1255.0,1254.84998,1254.92004,2923
2025-09-04 15:04:00,1254.26001,1254.62,1254.26001,1254.62,2644
2025-09-04 15:03:00,1253.835,1254.16,1253.835,1254.16,50
2025-09-04 15:02:00,1254.04663,1254.04663,1253.40002,1253.83496,3812
2025-09-04 15:01:00,1254.0,1254.0,1253.96997,1253.96997,1709
2025-09-04 15:00:00,1254.14001,1254.38501,1254.14001,1254.38501,2287
2025-09-04 14:59:00,1253.77002,1253.85193,1253.77002,1253.85193,1329
2025-09-04 14:58:00,1254.56995,1254.62,1253.96997,1253.96997,4222
2025-09-04 14:57:00,1254.45996,1254.74805,1254.45996,1254.60889,1400
2025-09-04 14:56:00,1254.68005,1254.68005,1254.67004,1254.67004,1103
2025-09-04 14:55:00,1254.23999,1254.65002,1254.23999,1254.64001,4020
2025-09-04 14:54:00,1254.41003,1254.51501,1254.35999,1254.51501,1735
2025-09-04 14:53:00,1254.21997,1254.21997,1254.0,1254.01001,2710
2025-09-04 14:52:00,1254.42859,1254.495,1254.17004,1254.495,1133
2025-09-04 14:51:00,1254.81995,1254.94995,1254.25,1254.94995,1239
2025-09-04 14:50:00,1253.43994,1254.29504,1253.43994,1254.20728,4556
2025-09-04 14:49:00,1253.39001,1253.39001,1253.39001,1253.39001,1765
2025-09-04 14:48:00,1253.77002,1253.84998,1253.00012,1253.44116,3746
2025-09-04 14:47:00,1253.77002,1253.96997,1253.73999,1253.83997,2329
2025-09-04 14:46:00,1254.06995,1254.06995,1254.01001,1254.01001,2909
2025-09-04 14:45:00,1254.19995,1254.19995,1253.86499,1253.87,1772
2025-09-04 14:44:00,1255.02002,1255.02002,1253.40015,1253.40015,5011
2025-09-04 14:43:00,1255.0,1255.0,1254.91748,1254.91748,1416
2025-09-04 14:42:00,1254.55249,1255.12,1254.55249,1255.12,2551
2025-09-04 14:41:00,1254.63501,1254.84998,1254.63501,1254.75,1603
2025-09-04 14:40:00,1255.56006,1255.56006,1254.75,1255.0,4586
2025-09-04 14:39:00,1255.51379,1255.71936,1255.31006,1255.57495,2712
2025-09-04 14:38:00,1255.44995,1255.64722,1255.44995,1255.64722,2607
2025-09-04 14:37:00,1255.80151,1255.80151,1255.43994,1255.45996,4156
2025-09-04 14:36:00,1255.28003,1255.40002,1255.10999,1255.33765,4377
2025-09-04 14:35:00,1255.0,1255.27612,1254.52014,1255.25854,4361
2025-09-04 14:34:00,1254.8175,1254.8175,1254.78003,1254.78003,792
2025-09-04 14:33:00,1255.06995,1255.06995,1254.89001,1254.89001,6414
2025-09-04 14:32:00,1254.93005,1254.94995,1254.68994,1254.93005,2337
2025-09-04 14:31:00,1254.90002,1254.90002,1254.68005,1254.87,4016
2025-09-04 14:30:00,1254.43005,1254.96997,1254.43005,1254.49011,7223
2025-09-04 14:29:00,1254.57104,1254.57104,1254.56494,1254.56494,1460
2025-09-04 14:28:00,1254.67004,1254.67004,1254.67004,1254.67004,681
2025-09-04 14:27:00,1254.35999,1254.5,1254.35999,1254.5,1651
2025-09-04 14:26:00,1254.48499,1254.60999,1254.30005,1254.30005,3093
2025-09-04 14:25:00,1254.56006,1254.56006,1254.55005,1254.55505,2365
2025-09-04 14:24:00,1254.66541,1254.66541,1254.31006,1254.48999,1967
2025-09-04 14:23:00,1255.08997,1255.08997,1254.70996,1254.70996,2367
2025-09-04 14:22:00,1254.82996,1255.28003,1254.48303,1255.28003,5153
2025-09-04 14:21:00,1254.36499,1254.6853,1254.36499,1254.5498,3249
2025-09-04 14:20:00,1254.78503,1254.78503,1254.43994,1254.54749,3428
2025-09-04 14:19:00,1254.92505,1254.92505,1254.77185,1254.80005,1414
2025-09-04 14:18:00,1254.59998,1254.90503,1254.51001,1254.6875,6376
