open,high,low,y,volume,lag_close_1,lag_close_5,lag_close_15,lag_close_30,rolling_mean_5,rolling_std_5,rolling_mean_10,rolling_std_10,rolling_mean_15,rolling_std_15,rolling_mean_30,rolling_std_30,returns,cumulative_returns,momentum_10,rsi,macd,bollinger_high,bollinger_low,hour_sin,hour_cos,min_sin,min_cos,day_sin,day_cos
0.22666605222734226,0.17981574772185205,0.23963236370089724,0.20510648468457227,0.014157811061835831,0.20510648468457227,0.20510648468457227,0.20510648468457227,0.20510648468457227,0.16502558568022607,0.027409911172960384,0.09752646528334807,0.01886368331027975,0.053511187745549194,0.03180628570022656,0.04369808446521262,0.0648709899552395,0.5340867673821038,0.20120762312095408,0.5161431903999323,0.5225293431055524,0.4831508735673223,0.041975704483899534,0.20929283785406483,-0.4999999999999997,-0.8660254037844388,-0.49999999999999967,0.8660254037844388,-0.9510565162951536,0.30901699437494723
0.21990807987711314,0.17098356017381633,0.23649761665322622,0.2012076231209523,0.0015362731152204837,0.20510648468457227,0.20510648468457227,0.20510648468457227,0.20510648468457227,0.16502558568022607,0.027409911172960384,0.09752646528334807,0.01886368331027975,0.053511187745549194,0.03180628570022656,0.04369808446521262,0.0648709899552395,0.5340867673821038,0.20120762312095408,0.5161431903999323,0.5225293431055524,0.4831508735673223,0.041975704483899534,0.20929283785406483,-0.4999999999999997,-0.8660254037844388,-0.40673664307580015,0.913545457642601,-0.9510565162951536,0.30901699437494723
0.2224882334869438,0.18139000454810628,0.23911241737679134,0.21152047298572363,0.02117981758848632,0.2012076231209523,0.20510648468457227,0.20510648468457227,0.20510648468457227,0.16502558568022607,0.027409911172960384,0.09752646528334807,0.01886368331027975,0.053511187745549194,0.03180628570022656,0.04369808446521262,0.0648709899552395,0.5861618559681451,0.2115204729857254,0.5161431903999323,0.5225293431055524,0.4831508735673223,0.041975704483899534,0.20929283785406483,-0.4999999999999997,-0.8660254037844388,-0.3090169943749477,0.9510565162951535,-0.9510565162951536,0.30901699437494723
0.22556043010752624,0.17777411356659734,0.24110502604401773,0.20762261777470314,0.0007296460547234541,0.21152047298572363,0.20510648468457227,0.20510648468457227,0.20510648468457227,0.16502558568022607,0.027409911172960384,0.09752646528334807,0.01886368331027975,0.053511187745549194,0.03180628570022656,0.04369808446521262,0.0648709899552395,0.5340965086097179,0.20762261777470492,0.5161431903999323,0.5225293431055524,0.4831508735673223,0.041975704483899534,0.20929283785406483,-0.4999999999999997,-0.8660254037844388,-0.20791169081775898,0.9781476007338057,-0.9510565162951536,0.30901699437494723
0.22580620583717348,0.17713943495578732,0.24247494450273344,0.20730813258695768,3.347000251025019e-05,0.20762261777470314,0.20510648468457227,0.20510648468457227,0.20510648468457227,0.16502558568022607,0.027409911172960384,0.09752646528334807,0.01886368331027975,0.053511187745549194,0.03180628570022656,0.04369808446521262,0.0648709899552395,0.5472185085287734,0.20730813258695946,0.5161431903999323,0.5225293431055524,0.4831508735673223,0.041975704483899534,0.20929283785406483,-0.4999999999999997,-0.8660254037844388,-0.10452846326765342,0.9945218953682733,-0.9510565162951536,0.30901699437494723
0.226958525345621,0.1815821852314592,0.2436427377197692,0.21171092521542256,0.010041000753075057,0.20730813258695768,0.20510648468457227,0.20510648468457227,0.20510648468457227,0.16652173129997294,0.031130819802339463,0.09752646528334807,0.01886368331027975,0.053511187745549194,0.03180628570022656,0.04369808446521262,0.0648709899552395,0.5644979616499292,0.2117109252154279,0.5161431903999323,0.5225293431055524,0.4831508735673223,0.041975704483899534,0.20929283785406483,-0.7071067811865471,-0.7071067811865479,0.0,1.0,-0.9510565162951536,0.30901699437494723
0.22863262672811047,0.18151871737037695,0.24533931946186982,0.21164802817787276,0.008183415613756172,0.21171092521542256,0.2012076231209523,0.20510648468457227,0.20510648468457227,0.16888686218749527,0.01608063509731921,0.09752646528334807,0.01886368331027975,0.053511187745549194,0.03180628570022656,0.04369808446521262,0.0648709899552395,0.5481401237373346,0.21164802817787987,0.5161431903999323,0.5225293431055524,0.4831508735673223,0.041975704483899534,0.20929283785406483,-0.7071067811865471,-0.7071067811865479,0.10452846326765346,0.9945218953682733,-0.9510565162951536,0.30901699437494723
0.2317048233486947,0.1831688817584851,0.24782945760569142,0.21265375180828983,0.005810392435779433,0.21164802817787276,0.21152047298572363,0.20510648468457227,0.20510648468457227,0.16914359099569864,0.017880524844300118,0.09752646528334807,0.01886368331027975,0.053511187745549194,0.03180628570022656,0.04369808446521262,0.0648709899552395,0.5520533773878782,0.21265375180829693,0.5161431903999323,0.5225293431055524,0.4831508735673223,0.041975704483899534,0.20929283785406483,-0.7071067811865471,-0.7071067811865479,0.20791169081775931,0.9781476007338057,-0.9510565162951536,0.30901699437494723
0.22863262672811047,0.17999548870443327,0.24533931946186982,0.2101384992766846,0.00726299054472429,0.21265375180828983,0.20762261777470314,0.20510648468457227,0.20510648468457227,0.16971352951985352,0.014656544593706735,0.09752646528334807,0.01886368331027975,0.053511187745549194,0.03180628570022656,0.04369808446521262,0.0648709899552395,0.5391602879144658,0.21013849927668993,0.5161431903999323,0.5225293431055524,0.4831508735673223,0.041975704483899534,0.20929283785406483,-0.7071067811865471,-0.7071067811865479,0.3090169943749474,0.9510565162951535,-0.9510565162951536,0.30901699437494723
0.22924768049155198,0.18355006973213683,0.24446817586016678,0.20925856972136536,0.006894820517111539,0.2101384992766846,0.20730813258695768,0.20510648468457227,0.20510648468457227,0.17015537436070005,0.009083916871836817,0.09752646528334807,0.01886368331027975,0.053511187745549194,0.03180628570022656,0.04369808446521262,0.0648709899552395,0.5451478543499994,0.2092585697213707,0.5161431903999323,0.5225293431055524,0.4831508735673223,0.041975704483899534,0.20929283785406483,-0.7071067811865471,-0.7071067811865479,0.40673664307580015,0.9135454576426009,-0.9510565162951536,0.30901699437494723
